John 15:1	I am the true vine, and my Father is the husbandman.
John 16:19	Now Jesus knew that they were desirous to ask him, and said unto them, Do ye inquire among yourselves of that I said, A little while, and ye shall not see me: and again, a little while, and ye shall see me?
John 16:20	Verily, verily, I say unto you, That ye shall weep and lament, but the world shall rejoice: and ye shall be sorrowful, but your sorrow shall be turned into joy.
John 16:21	A woman when she is in travail hath sorrow, because her hour is come: but as soon as she is delivered of the child, she remembereth no more the anguish, for joy that a man is born into the world.
John 16:22	And ye now therefore have sorrow: but I will see you again, and your heart shall rejoice, and your joy no man taketh from you.
John 16:23	And in that day ye shall ask me nothing. Verily, verily, I say unto you, Whatsoever ye shall ask the Father in my name, he will give [it] you.
John 16:24	Hitherto have ye asked nothing in my name: ask, and ye shall receive, that your joy may be full.
John 16:25	These things have I spoken unto you in proverbs: but the time cometh, when I shall no more speak unto you in proverbs, but I shall shew you plainly of the Father.
John 16:26	At that day ye shall ask in my name: and I say not unto you, that I will pray the Father for you:
John 16:27	For the Father himself loveth you, because ye have loved me, and have believed that I came out from God.
John 16:28	I came forth from the Father, and am come into the world: again, I leave the world, and go to the Father.
John 16:29	His disciples said unto him, Lo, now speakest thou plainly, and speakest no proverb.
John 16:30	Now are we sure that thou knowest all things, and needest not that any man should ask thee: by this we believe that thou camest forth from God.
John 16:31	Jesus answered them, Do ye now believe?
John 16:32	Behold, the hour cometh, yea, is now come, that ye shall be scattered, every man to his own, and shall leave me alone: and yet I am not alone, because the Father is with me.
John 16:33	These things I have spoken unto you, that in me ye might have peace. In the world ye shall have tribulation: but be of good cheer; I have overcome the world.
John 17:1	These words spake Jesus, and lifted up his eyes to heaven, and said, Father, the hour is come; glorify thy Son, that thy Son also may glorify thee:
John 17:2	As thou hast given him power over all flesh, that he should give eternal life to as many as thou hast given him.
John 17:3	And this is life eternal, that they might know thee the only true God, and Jesus Christ, whom thou hast sent.
John 17:4	I have glorified thee on the earth: I have finished the work which thou gavest me to do.
John 17:5	And now, O Father, glorify thou me with thine own self with the glory which I had with thee before the world was.
John 17:6	I have manifested thy name unto the men which thou gavest me out of the world: thine they were, and thou gavest them me; and they have kept thy word.
John 17:7	Now they have known that all things whatsoever thou hast given me are of thee.
John 17:8	For I have given unto them the words which thou gavest me; and they have received [them], and have known surely that I came out from thee, and they have believed that thou didst send me.
John 17:9	I pray for them: I pray not for the world, but for them which thou hast given me; for they are thine.
John 17:10	And all mine are thine, and thine are mine; and I am glorified in them.
John 17:11	And now I am no more in the world, but these are in the world, and I come to thee. Holy Father, keep through thine own name those whom thou hast given me, that they may be one, as we [are].
John 17:12	While I was with them in the world, I kept them in thy name: those that thou gavest me I have kept, and none of them is lost, but the son of perdition; that the scripture might be fulfilled.
John 17:13	And now come I to thee; and these things I speak in the world, that they might have my joy fulfilled in themselves.
John 17:14	I have given them thy word; and the world hath hated them, because they are not of the world, even as I am not of the world.
John 17:15	I pray not that thou shouldest take them out of the world, but that thou shouldest keep them from the evil.
John 17:16	They are not of the world, even as I am not of the world.
John 17:17	Sanctify them through thy truth: thy word is truth.
John 17:18	As thou hast sent me into the world, even so have I also sent them into the world.
John 17:19	And for their sakes I sanctify myself, that they also might be sanctified through the truth.
John 17:20	Neither pray I for these alone, but for them also which shall believe on me through their word;
John 17:21	That they all may be one; as thou, Father, [art] in me, and I in thee, that they also may be one in us: that the world may believe that thou hast sent me.
John 17:22	And the glory which thou gavest me I have given them; that they may be one, even as we are one:
John 17:23	I in them, and thou in me, that they may be made perfect in one; and that the world may know that thou hast sent me, and hast loved them, as thou hast loved me.
John 17:24	Father, I will that they also, whom thou hast given me, be with me where I am; that they may behold my glory, which thou hast given me: for thou lovedst me before the foundation of the world.
John 17:25	O righteous Father, the world hath not known thee: but I have known thee, and these have known that thou hast sent me.
John 17:26	And I have declared unto them thy name, and will declare [it]: that the love wherewith thou hast loved me may be in them, and I in them.
John 18:1	When Jesus had spoken these words, he went forth with his disciples over the brook Cedron, where was a garden, into the which he entered, and his disciples.
John 18:2	And Judas also, which betrayed him, knew the place: for Jesus ofttimes resorted thither with his disciples.
John 18:3	Judas then, having received a band [of men] and officers from the chief priests and Pharisees, cometh thither with lanterns and torches and weapons.
John 18:4	Jesus therefore, knowing all things that should come upon him, went forth, and said unto them, Whom seek ye?
John 18:5	They answered him, Jesus of Nazareth. Jesus saith unto them, I am [he]. And Judas also, which betrayed him, stood with them.
John 18:6	As soon then as he had said unto them, I am [he], they went backward, and fell to the ground.
John 18:7	Then asked he them again, Whom seek ye? And they said, Jesus of Nazareth.
John 18:8	Jesus answered, I have told you that I am [he]: if therefore ye seek me, let these go their way:
John 18:9	That the saying might be fulfilled, which he spake, Of them which thou gavest me have I lost none.
John 18:10	Then Simon Peter having a sword drew it, and smote the high priest’s servant, and cut off his right ear. The servant’s name was Malchus.
John 18:11	Then said Jesus unto Peter, Put up thy sword into the sheath: the cup which my Father hath given me, shall I not drink it?
John 18:12	Then the band and the captain and officers of the Jews took Jesus, and bound him,
John 18:13	And led him away to Annas first; for he was father in law to Caiaphas, which was the high priest that same year.
John 18:14	Now Caiaphas was he, which gave counsel to the Jews, that it was expedient that one man should die for the people.
John 18:15	And Simon Peter followed Jesus, and [so did] another disciple: that disciple was known unto the high priest, and went in with Jesus into the palace of the high priest.
John 18:16	But Peter stood at the door without. Then went out that other disciple, which was known unto the high priest, and spake unto her that kept the door, and brought in Peter.
John 18:17	Then saith the damsel that kept the door unto Peter, Art not thou also [one] of this man’s disciples? He saith, I am not.
John 18:18	And the servants and officers stood there, who had made a fire of coals; for it was cold: and they warmed themselves: and Peter stood with them, and warmed himself.
John 18:19	The high priest then asked Jesus of his disciples, and of his doctrine.
John 18:20	Jesus answered him, I spake openly to the world; I ever taught in the synagogue, and in the temple, whither the Jews always resort; and in secret have I said nothing.
John 18:21	Why askest thou me? ask them which heard me, what I have said unto them: behold, they know what I said.
John 18:22	And when he had thus spoken, one of the officers which stood by struck Jesus with the palm of his hand, saying, Answerest thou the high priest so?
John 18:23	Jesus answered him, If I have spoken evil, bear witness of the evil: but if well, why smitest thou me?
John 18:24	Now Annas had sent him bound unto Caiaphas the high priest.
John 18:25	And Simon Peter stood and warmed himself. They said therefore unto him, Art not thou also [one] of his disciples? He denied [it], and said, I am not.
John 18:26	One of the servants of the high priest, being [his] kinsman whose ear Peter cut off, saith, Did not I see thee in the garden with him?
John 18:27	Peter then denied again: and immediately the cock crew.
John 18:28	Then led they Jesus from Caiaphas unto the hall of judgment: and it was early; and they themselves went not into the judgment hall, lest they should be defiled; but that they might eat the passover.
John 18:29	Pilate then went out unto them, and said, What accusation bring ye against this man?
John 18:30	They answered and said unto him, If he were not a malefactor, we would not have delivered him up unto thee.
John 18:31	Then said Pilate unto them, Take ye him, and judge him according to your law. The Jews therefore said unto him, It is not lawful for us to put any man to death:
John 18:32	That the saying of Jesus might be fulfilled, which he spake, signifying what death he should die.
John 18:33	Then Pilate entered into the judgment hall again, and called Jesus, and said unto him, Art thou the King of the Jews?
John 18:34	Jesus answered him, Sayest thou this thing of thyself, or did others tell it thee of me?
John 18:35	Pilate answered, Am I a Jew? Thine own nation and the chief priests have delivered thee unto me: what hast thou done?
John 18:36	Jesus answered, My kingdom is not of this world: if my kingdom were of this world, then would my servants fight, that I should not be delivered to the Jews: but now is my kingdom not from hence.
John 18:37	Pilate therefore said unto him, Art thou a king then? Jesus answered, Thou sayest that I am a king. To this end was I born, and for this cause came I into the world, that I should bear witness unto the truth. Every one that is of the truth heareth my voice.
John 18:38	Pilate saith unto him, What is truth? And when he had said this, he went out again unto the Jews, and saith unto them, I find in him no fault [at all].
John 18:39	But ye have a custom, that I should release unto you one at the passover: will ye therefore that I release unto you the King of the Jews?
John 18:40	Then cried they all again, saying, Not this man, but Barabbas. Now Barabbas was a robber.
John 19:1	Then Pilate therefore took Jesus, and scourged [him].
John 19:2	And the soldiers platted a crown of thorns, and put [it] on his head, and they put on him a purple robe,
John 19:3	And said, Hail, King of the Jews! and they smote him with their hands.
John 19:4	Pilate therefore went forth again, and saith unto them, Behold, I bring him forth to you, that ye may know that I find no fault in him.
John 19:5	Then came Jesus forth, wearing the crown of thorns, and the purple robe. And [Pilate] saith unto them, Behold the man!
John 19:6	When the chief priests therefore and officers saw him, they cried out, saying, Crucify [him], crucify [him]. Pilate saith unto them, Take ye him, and crucify [him]: for I find no fault in him.
John 19:7	The Jews answered him, We have a law, and by our law he ought to die, because he made himself the Son of God.
John 19:8	When Pilate therefore heard that saying, he was the more afraid;
John 19:9	And went again into the judgment hall, and saith unto Jesus, Whence art thou? But Jesus gave him no answer.
John 19:10	Then saith Pilate unto him, Speakest thou not unto me? knowest thou not that I have power to crucify thee, and have power to release thee?
John 19:11	Jesus answered, Thou couldest have no power [at all] against me, except it were given thee from above: therefore he that delivered me unto thee hath the greater sin.
John 19:12	And from thenceforth Pilate sought to release him: but the Jews cried out, saying, If thou let this man go, thou art not Caesar’s friend: whosoever maketh himself a king speaketh against Caesar.
John 19:13	When Pilate therefore heard that saying, he brought Jesus forth, and sat down in the judgment seat in a place that is called the Pavement, but in the Hebrew, Gabbatha.
John 19:14	And it was the preparation of the passover, and about the sixth hour: and he saith unto the Jews, Behold your King!
John 19:15	But they cried out, Away with [him], away with [him], crucify him. Pilate saith unto them, Shall I crucify your King? The chief priests answered, We have no king but Caesar.
John 19:16	Then delivered he him therefore unto them to be crucified. And they took Jesus, and led [him] away.
John 19:17	And he bearing his cross went forth into a place called [the place] of a skull, which is called in the Hebrew Golgotha:
John 19:18	Where they crucified him, and two other with him, on either side one, and Jesus in the midst.
John 19:19	And Pilate wrote a title, and put [it] on the cross. And the writing was, JESUS OF NAZARETH THE KING OF THE JEWS.
John 19:20	This title then read many of the Jews: for the place where Jesus was crucified was nigh to the city: and it was written in Hebrew, [and] Greek, [and] Latin.
John 19:21	Then said the chief priests of the Jews to Pilate, Write not, The King of the Jews; but that he said, I am King of the Jews.
John 19:22	Pilate answered, What I have written I have written.
John 19:23	Then the soldiers, when they had crucified Jesus, took his garments, and made four parts, to every soldier a part; and also [his] coat: now the coat was without seam, woven from the top throughout.
John 19:24	They said therefore among themselves, Let us not rend it, but cast lots for it, whose it shall be: that the scripture might be fulfilled, which saith, They parted my raiment among them, and for my vesture they did cast lots. These things therefore the soldiers did.
John 19:25	Now there stood by the cross of Jesus his mother, and his mother’s sister, Mary the [wife] of Cleophas, and Mary Magdalene.
John 19:26	When Jesus therefore saw his mother, and the disciple standing by, whom he loved, he saith unto his mother, Woman, behold thy son!
John 19:27	Then saith he to the disciple, Behold thy mother! And from that hour that disciple took her unto his own [home].
John 19:28	After this, Jesus knowing that all things were now accomplished, that the scripture might be fulfilled, saith, I thirst.
John 19:29	Now there was set a vessel full of vinegar: and they filled a spunge with vinegar, and put [it] upon hyssop, and put [it] to his mouth.
John 19:30	When Jesus therefore had received the vinegar, he said, It is finished: and he bowed his head, and gave up the ghost.
John 19:31	The Jews therefore, because it was the preparation, that the bodies should not remain upon the cross on the sabbath day, (for that sabbath day was an high day,) besought Pilate that their legs might be broken, and [that] they might be taken away.
John 19:32	Then came the soldiers, and brake the legs of the first, and of the other which was crucified with him.
John 19:33	But when they came to Jesus, and saw that he was dead already, they brake not his legs:
John 19:34	But one of the soldiers with a spear pierced his side, and forthwith came there out blood and water.
John 19:35	And he that saw [it] bare record, and his record is true: and he knoweth that he saith true, that ye might believe.
John 19:36	For these things were done, that the scripture should be fulfilled, A bone of him shall not be broken.
John 19:37	And again another scripture saith, They shall look on him whom they pierced.
John 19:38	And after this Joseph of Arimathaea, being a disciple of Jesus, but secretly for fear of the Jews, besought Pilate that he might take away the body of Jesus: and Pilate gave [him] leave. He came therefore, and took the body of Jesus.
John 19:39	And there came also Nicodemus, which at the first came to Jesus by night, and brought a mixture of myrrh and aloes, about an hundred pound [weight].
John 19:40	Then took they the body of Jesus, and wound it in linen clothes with the spices, as the manner of the Jews is to bury.
John 19:41	Now in the place where he was crucified there was a garden; and in the garden a new sepulchre, wherein was never man yet laid.
John 19:42	There laid they Jesus therefore because of the Jews’ preparation [day]; for the sepulchre was nigh at hand.
John 20:1	The first [day] of the week cometh Mary Magdalene early, when it was yet dark, unto the sepulchre, and seeth the stone taken away from the sepulchre.
John 20:2	Then she runneth, and cometh to Simon Peter, and to the other disciple, whom Jesus loved, and saith unto them, They have taken away the Lord out of the sepulchre, and we know not where they have laid him.
John 20:3	Peter therefore went forth, and that other disciple, and came to the sepulchre.
John 20:4	So they ran both together: and the other disciple did outrun Peter, and came first to the sepulchre.
John 20:5	And he stooping down, [and looking in], saw the linen clothes lying; yet went he not in.
John 20:6	Then cometh Simon Peter following him, and went into the sepulchre, and seeth the linen clothes lie,
John 20:7	And the napkin, that was about his head, not lying with the linen clothes, but wrapped together in a place by itself.
John 20:8	Then went in also that other disciple, which came first to the sepulchre, and he saw, and believed.
John 20:9	For as yet they knew not the scripture, that he must rise again from the dead.
John 20:10	Then the disciples went away again unto their own home.
John 20:11	But Mary stood without at the sepulchre weeping: and as she wept, she stooped down, [and looked] into the sepulchre,
John 20:12	And seeth two angels in white sitting, the one at the head, and the other at the feet, where the body of Jesus had lain.
John 20:13	And they say unto her, Woman, why weepest thou? She saith unto them, Because they have taken away my Lord, and I know not where they have laid him.
John 20:14	And when she had thus said, she turned herself back, and saw Jesus standing, and knew not that it was Jesus.
John 20:15	Jesus saith unto her, Woman, why weepest thou? whom seekest thou? She, supposing him to be the gardener, saith unto him, Sir, if thou have borne him hence, tell me where thou hast laid him, and I will take him away.
John 20:16	Jesus saith unto her, Mary. She turned herself, and saith unto him, Rabboni; which is to say, Master.
John 20:17	Jesus saith unto her, Touch me not; for I am not yet ascended to my Father: but go to my brethren, and say unto them, I ascend unto my Father, and your Father; and [to] my God, and your God.
John 20:18	Mary Magdalene came and told the disciples that she had seen the Lord, and [that] he had spoken these things unto her.
John 20:19	Then the same day at evening, being the first [day] of the week, when the doors were shut where the disciples were assembled for fear of the Jews, came Jesus and stood in the midst, and saith unto them, Peace [be] unto you.
John 20:20	And when he had so said, he shewed unto them [his] hands and his side. Then were the disciples glad, when they saw the Lord.
John 20:21	Then said Jesus to them again, Peace [be] unto you: as [my] Father hath sent me, even so send I you.
John 20:22	And when he had said this, he breathed on [them], and saith unto them, Receive ye the Holy Ghost:
John 20:23	Whose soever sins ye remit, they are remitted unto them; [and] whose soever [sins] ye retain, they are retained.
John 20:24	But Thomas, one of the twelve, called Didymus, was not with them when Jesus came.
John 20:25	The other disciples therefore said unto him, We have seen the Lord. But he said unto them, Except I shall see in his hands the print of the nails, and put my finger into the print of the nails, and thrust my hand into his side, I will not believe.
John 20:26	And after eight days again his disciples were within, and Thomas with them: [then] came Jesus, the doors being shut, and stood in the midst, and said, Peace [be] unto you.
John 20:27	Then saith he to Thomas, Reach hither thy finger, and behold my hands; and reach hither thy hand, and thrust [it] into my side: and be not faithless, but believing.
John 20:28	And Thomas answered and said unto him, My Lord and my God.
John 20:29	Jesus saith unto him, Thomas, because thou hast seen me, thou hast believed: blessed [are] they that have not seen, and [yet] have believed.
John 20:30	And many other signs truly did Jesus in the presence of his disciples, which are not written in this book:
John 20:31	But these are written, that ye might believe that Jesus is the Christ, the Son of God; and that believing ye might have life through his name.
John 21:1	After these things Jesus shewed himself again to the disciples at the sea of Tiberias; and on this wise shewed he [himself].
John 21:2	There were together Simon Peter, and Thomas called Didymus, and Nathanael of Cana in Galilee, and the [sons] of Zebedee, and two other of his disciples.
John 21:3	Simon Peter saith unto them, I go a fishing. They say unto him, We also go with thee. They went forth, and entered into a ship immediately; and that night they caught nothing.
John 21:4	But when the morning was now come, Jesus stood on the shore: but the disciples knew not that it was Jesus.
John 21:5	Then Jesus saith unto them, Children, have ye any meat? They answered him, No.
John 21:6	And he said unto them, Cast the net on the right side of the ship, and ye shall find. They cast therefore, and now they were not able to draw it for the multitude of fishes.
John 21:7	Therefore that disciple whom Jesus loved saith unto Peter, It is the Lord. Now when Simon Peter heard that it was the Lord, he girt [his] fisher’s coat [unto him], (for he was naked,) and did cast himself into the sea.
John 21:8	And the other disciples came in a little ship; (for they were not far from land, but as it were two hundred cubits,) dragging the net with fishes.
John 21:9	As soon then as they were come to land, they saw a fire of coals there, and fish laid thereon, and bread.
John 21:10	Jesus saith unto them, Bring of the fish which ye have now caught.
John 21:11	Simon Peter went up, and drew the net to land full of great fishes, an hundred and fifty and three: and for all there were so many, yet was not the net broken.
John 21:12	Jesus saith unto them, Come [and] dine. And none of the disciples durst ask him, Who art thou? knowing that it was the Lord.
John 21:13	Jesus then cometh, and taketh bread, and giveth them, and fish likewise.
John 21:14	This is now the third time that Jesus shewed himself to his disciples, after that he was risen from the dead.
John 21:15	So when they had dined, Jesus saith to Simon Peter, Simon, [son] of Jonas, lovest thou me more than these? He saith unto him, Yea, Lord; thou knowest that I love thee. He saith unto him, Feed my lambs.
John 21:16	He saith to him again the second time, Simon, [son] of Jonas, lovest thou me? He saith unto him, Yea, Lord; thou knowest that I love thee. He saith unto him, Feed my sheep.
John 21:17	He saith unto him the third time, Simon, [son] of Jonas, lovest thou me? Peter was grieved because he said unto him the third time, Lovest thou me? And he said unto him, Lord, thou knowest all things; thou knowest that I love thee. Jesus saith unto him, Feed my sheep.
John 21:18	Verily, verily, I say unto thee, When thou wast young, thou girdedst thyself, and walkedst whither thou wouldest: but when thou shalt be old, thou shalt stretch forth thy hands, and another shall gird thee, and carry [thee] whither thou wouldest not.
John 21:19	This spake he, signifying by what death he should glorify God. And when he had spoken this, he saith unto him, Follow me.
John 21:20	Then Peter, turning about, seeth the disciple whom Jesus loved following; which also leaned on his breast at supper, and said, Lord, which is he that betrayeth thee?
John 21:21	Peter seeing him saith to Jesus, Lord, and what [shall] this man [do]?
John 21:22	Jesus saith unto him, If I will that he tarry till I come, what [is that] to thee? follow thou me.
John 21:23	Then went this saying abroad among the brethren, that that disciple should not die: yet Jesus said not unto him, He shall not die; but, If I will that he tarry till I come, what [is that] to thee?
John 21:24	This is the disciple which testifieth of these things, and wrote these things: and we know that his testimony is true.
John 21:25	And there are also many other things which Jesus did, the which, if they should be written every one, I suppose that even the world itself could not contain the books that should be written. Amen.
